title,company,location,link,salary,job_type,time_posted,skills,category,scraped_date,source
Java Developer,Kapture CX,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-at-kapture-cx-4253677927,Not specified,Not specified,2 months ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Scandid,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/java-developer-at-scandid-4048223982,Not specified,Not specified,10 months ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-at-infosys-4262189011,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Java Backend Developer - India (Remote),Kovan Technology Solutions,India,https://in.linkedin.com/jobs/view/java-backend-developer-india-remote-at-kovan-technology-solutions-4260723063,Not specified,Not specified,1 month ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Citi,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/java-developer-at-citi-4276873125,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-at-infosys-4257976105,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Junior Java Developer,Team Geek Solutions,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/junior-java-developer-at-team-geek-solutions-4279985854,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-at-infosys-4274014257,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Kiya.ai,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/java-developer-at-kiya-ai-4064937631,Not specified,Not specified,9 months ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Girnar NewTel Solutions Pvt Ltd,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-at-girnar-newtel-solutions-pvt-ltd-4074122299,Not specified,Not specified,9 months ago,"go, java",software_development,2025-08-20,LinkedIn
Java  Developer,Abmiro,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/java-developer-at-abmiro-4272053858,Not specified,Not specified,3 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Infosys,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/java-developer-at-infosys-4149886078,Not specified,Not specified,2 months ago,"go, java",software_development,2025-08-20,LinkedIn
Software Development Engineer 2,Porter,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-development-engineer-2-at-porter-4284789136,Not specified,Not specified,2 days ago,go,software_development,2025-08-20,LinkedIn
Java Software Engineer,ADP,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/java-software-engineer-at-adp-4268307471,Not specified,Not specified,4 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-at-infosys-4275950484,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Kapture CX,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-at-kapture-cx-3627618966,Not specified,Not specified,Not specified,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,RChilli Inc.,"Sahibzada Ajit Singh Nagar, Punjab, India",https://in.linkedin.com/jobs/view/java-developer-at-rchilli-inc-4278248450,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer - Immediate Hiring,Resemble Systems,"Kochi, Kerala, India",https://in.linkedin.com/jobs/view/java-developer-immediate-hiring-at-resemble-systems-4196087906,Not specified,Not specified,4 months ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-at-infosys-4274308454,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Deqode,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/java-developer-at-deqode-4274223768,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Scouto AI,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/java-developer-at-scouto-ai-4284134064,Not specified,Not specified,6 days ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-at-infosys-4277107559,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Full Stack (Sde-1) Java software developer,NxtWave,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/full-stack-sde-1-java-software-developer-at-nxtwave-4257938946,Not specified,Not specified,1 month ago,"go, java",software_development,2025-08-20,LinkedIn
Java developer,Altraize,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/java-developer-at-altraize-4177408836,Not specified,Not specified,6 months ago,"go, java",software_development,2025-08-20,LinkedIn
Java Programmer Developer,Persistent Systems,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-programmer-developer-at-persistent-systems-4269626702,Not specified,Not specified,3 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Jr. Java Developer,Relanto,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/jr-java-developer-at-relanto-4260921000,Not specified,Not specified,1 month ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Persistent Systems,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/java-developer-at-persistent-systems-4279863368,Not specified,Not specified,1 week ago,"go, java",software_development,2025-08-20,LinkedIn
